004,,,,,甘家口街道办事处,3,969530,-247110
005,,,,,八里庄街道办事处,3,-817570,185390
006,,,,,紫竹院街道办事处,3,174460,104390
007,,,,,北下关街道办事处,3,137480,267150
008,,,,,北太平庄街道办事处,3,-76750,232830
010,,,,,学院路街道办事处,3,432690,-93140
011,,,,,中关村街道办事处,3,-144570,-352750
012,,,,,海淀街道办事处,3,18680,-59950
013,,,,,青龙桥街道办事处,3,241280,-391450
014,,,,,清华园街道办事处,3,-57584,526434
015,,,,,燕园街道办事处,3,-105666,-131324
016,,,,,香山街道办事处,3,47119,-1044800
017,,,,,清河街道办事处,3,420990,1268880
018,,,,,花园路街道办事处,3,-579489,382880
019,,,,,西三旗街道办事处,3,563790,-114140
020,,,,,马连洼街道办事处,3,-14897,-856944
021,,,,,田村路街道办事处,3,-1111293,-216666
022,,,,,上地街道办事处,3,1204226,414823
023,,,,,万柳地区办事处,3,-515786,-14903
024,,,,,东升地区办事处,3,48760,407730
025,,,,,曙光街道办事处,3,-528580,-447920
026,,,,,温泉地区办事处,3,528580,447920
028,,,,,西北旺地区办事处,3,496110,-801290
029,,,,,苏家坨地区办事处,3,-496110,801290
030,,,,,上庄地区办事处,3,0,0
110109,,北京市,市辖区,门头沟区,,2,3249,-5349780
001,,,,,大峪街道办事处,3,-654930,3146504
002,,,,,城子街道办事处,3,219081,-132734
003,,,,,东辛房街道办事处,3,-214860,-324810
004,,,,,大台街道办事处,3,347180,-1270820
005,,,,,王平地区办事处,3,77330,530400
006,,,,,永定地区办事处,3,-660610,1092750
007,,,,,龙泉地区办事处,3,237540,-33290
101,,,,,潭柘寺镇,3,-518455,-699190
104,,,,,军庄镇,3,1248399,731530
105,,,,,雁翅镇,3,143620,-2715850
106,,,,,斋堂镇,3,-456529,-1353410
107,,,,,清水镇,3,-296730,-836990
108,,,,,妙峰山镇,3,329690,4374120
110111,,北京市,市辖区,房山区,,2,-2595555,-2106073
001,,,,,城关街道办事处,3,-233170,1455243
002,,,,,新镇街道办事处,3,428600,751520
004,,,,,向阳街道办事处,3,11500,-1028830
005,,,,,东风街道办事处,3,182540,58750
006,,,,,迎风街道办事处,3,-282050,-118110
007,,,,,星城街道办事处,3,-185286,1118625
008,,,,,良乡地区办事处,3,387696,634695
009,,,,,周口店地区办事处,3,-609290,-1877450
010,,,,,琉璃河地区办事处,3,-748750,938280
011,,,,,拱辰街道办事处,3,1242810,1121600
012,,,,,西潞街道办事处,3,-126140,-281180
101,,,,,阎村镇,3,-55316,-198510
103,,,,,窦店镇,3,-658969,-285130
104,,,,,石楼镇,3,40080,-836480
105,,,,,长阳镇,3,1100190,2322190
107,,,,,河北镇,3,541750,-2787570
108,,,,,长沟镇,3,-2396361,-375610
109,,,,,大石窝镇,3,-273639,-747990
110,,,,,张坊镇,3,236710,-1087410
111,,,,,十渡镇,3,634088,-1279550
112,,,,,青龙湖镇,3,1362731,4497490
115,,,,,韩村河镇,3,-1724459,-761950
208,,,,,霞云岭乡,3,1251300,-2115300
209,,,,,南窖乡,3,399330,906720
